,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers,danceability,energy,loudness,instrumentalness,valence,tempo,is_edm
47,Junior H,7Gi6gjaWy3DxyilpF1a8Is,El Azul,1haJsMtoBhHfvuM7XWuT3W,90,88,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",10448281,0.558,0.648,-7.081,7.76e-06,0.844,143.876,not_edm
48,Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,Deli,5JYPXqMwYc0zTODQdjMEZN,85,80,['bronx drill'],2071946,0.789,0.763,-6.169,2.22e-05,0.272,140.107,not_edm
49,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,Ella Baila Sola,3dnP0JxCgygwQH9Gm7q7nb,89,80,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",4776064,0.668,0.758,-5.176,1.89e-05,0.834,147.989,not_edm
50,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Fear and Friday's,0GMiRrUnQuoGddKMsxGPIZ,82,89,"['classic oklahoma country', 'modern country pop']",2262988,0.523,0.636,-5.813,2.63e-06,0.155,128.785,not_edm
51,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,TULUM,7bPp2NmpmyhLJ7zWazAXMu,91,93,"['corridos tumbados', 'sad sierreno']",7723690,0.557,0.866,-4.454,0.0,0.631,167.767,not_edm
52,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,pretty isn’t pretty,6W9l02gRsXVxzIuQC1oc1X,86,91,['pop'],28557065,0.554,0.854,-4.338,1.78e-06,0.594,123.926,not_edm
53,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Sarah's Place (feat. Noah Kahan),1vhbThkFnqAHbZp0fEjXE4,80,89,"['classic oklahoma country', 'modern country pop']",2262988,0.576,0.683,-5.103,0.0,0.433,151.566,not_edm
54,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,TQM,368eeEO3Y2uZUQ6S5oIjcu,89,86,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",5014307,0.786,0.853,-4.955,0.0,0.963,125.107,not_edm
55,Mitski,2uYWxilOVlUdk4oV9DvwqK,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,87,81,"['brooklyn indie', 'pov: indie']",5181405,0.504,0.308,-14.958,0.135,0.121,113.95,not_edm
56,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,LAGUNAS,3HOKxuTDmNVmIlCIpBiD8m,88,93,"['corridos tumbados', 'sad sierreno']",7723690,0.77,0.622,-10.621,0.00603,0.792,115.952,not_edm
57,Laufey,7gW0r5CkdEUMm42w9XpyZO,From The Start,1Ukxccao1BlWrPhYkcXbwZ,86,79,['gen z singer-songwriter'],1778607,0.664,0.405,-7.413,0.000765,0.743,81.89,not_edm
58,Taylor Swift,06HL4z0CvFAxyc27GXpf02,I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,88,100,['pop'],88128009,0.694,0.764,-4.893,0.0,0.819,123.044,not_edm
59,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,6WzRpISELf3YglGAh7TXcG,92,94,"['canadian contemporary r&b', 'canadian pop', 'pop']",72446005,0.855,0.678,-6.276,3.69e-05,0.852,99.029,not_edm
60,juju<3,496w0Fyed8J7IRzn5Ffb6x,Wasted Summers,43MifzVnh8W3jJN0xqU9jR,83,64,[],45583,0.633,0.643,-8.122,0.00831,0.472,103.842,not_edm
61,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Boys Of Faith (feat. Bon Iver),6pRRHgDjfIGhTUCGlHX2p8,78,89,"['classic oklahoma country', 'modern country pop']",2262988,0.302,0.584,-6.242,5.22e-05,0.159,199.804,not_edm
62,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Single Soon,6iF4RgIjDvDqyW13PezSj3,88,83,"['pop', 'post-teen pop']",45641603,0.61,0.571,-5.649,0.0,0.747,105.01,not_edm
63,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,Rock and A Hard Place,1TE8AAk9koG0UJco6ZAUfx,82,74,"['contemporary country', 'modern country pop']",661828,0.582,0.568,-7.3,0.0,0.394,121.991,not_edm
64,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,teenage dream,7fesNTgTEMEH0ye8MOgEDY,85,91,['pop'],28557065,0.422,0.229,-10.208,0.0,0.104,135.82,not_edm
65,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Cowgirls (feat. ERNEST),7fveJ3pk1eSfxBdVkzdXZ0,82,87,['contemporary country'],7260552,0.624,0.766,-3.805,8.62e-06,0.37,172.08,not_edm
66,Bizarrap,716NhGYqD1jl2wI1Qkgq36,"Peso Pluma: Bzrp Music Sessions, Vol. 55",5AqiaZwhmC6dIbgWrD5SzV,89,83,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",12650588,0.854,0.668,-7.848,5.61e-05,0.805,132.966,not_edm
67,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Deep Satin,1u2Fe70Qm9VFCIMPWFlfc1,78,89,"['classic oklahoma country', 'modern country pop']",2262988,0.509,0.697,-4.425,0.0,0.37,75.216,not_edm
68,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,500lbs,1xWkeSPhf3bZqHY7Ncz8vp,82,80,"['melodic rap', 'pluggnb', 'rap']",6358944,0.731,0.667,-7.928,0.0,0.485,123.042,not_edm
69,FIFTY FIFTY,4GJ6xDCF5jaUqD6avOuQT6,Cupid - Twin Ver.,7FbrGaHYVDmfr7KoLIZnQ7,90,74,['k-pop girl group'],1258208,0.783,0.592,-8.332,4.15e-06,0.726,120.018,not_edm
70,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Overtime,5pIVEk6Di7n1v5khOzJaJL,80,89,"['classic oklahoma country', 'modern country pop']",2262988,0.377,0.72,-7.086,0.00919,0.26,142.212,not_edm
71,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Ticking,1HwDRgozGBMyfJTQUfz09A,80,89,"['classic oklahoma country', 'modern country pop']",2262988,0.494,0.328,-8.553,2.91e-06,0.206,121.834,not_edm
72,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,MY EYES,4kjI1gwQZRKNDkw1nI475M,88,93,"['hip hop', 'rap', 'slap house']",24421243,0.455,0.621,-7.694,2.59e-06,0.28,119.043,not_edm
73,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Agora Hills,7dJYggqjKo71KI9sLzqCs8,85,89,"['dance pop', 'pop']",26574094,0.75,0.674,-6.128,8.91e-05,0.392,123.026,not_edm
74,Grupo Frontera,6XkjpgcEsYab502Vr1bBeW,un x100to,6pD0ufEQq0xdHSsRbg9LBK,90,86,['musica chihuahuense'],1926163,0.569,0.724,-4.076,0.0,0.562,83.118,not_edm
75,KAROL G,790FomKkXshlbRYZFtlgla,QLONA,3XB5uhhlYSnkxpSihkNQwh,90,91,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",40230068,0.842,0.756,-7.409,2.21e-06,0.421,169.925,not_edm
76,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Summertime's Close,7eOuUmpnHBlg5zsm8Cs7c3,80,89,"['classic oklahoma country', 'modern country pop']",2262988,0.469,0.208,-9.022,1.72e-06,0.215,81.098,not_edm
77,Odetari,7ITMCzIU9uII8gwRg8JAhc,I LOVE YOU HOE (w/ 9lives),0NaUT74rJ0NHS62fewzatU,85,80,"['sigilkore', 'sped up']",1215176,0.477,0.565,-8.3,0.0011,0.0399,151.928,not_edm
78,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,TOPIA TWINS (feat. Rob49 & 21 Savage),0lodMO0qK83vfPiiD7FMEt,85,93,"['hip hop', 'rap', 'slap house']",24421243,0.715,0.567,-4.481,0.0,0.332,160.098,not_edm
79,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Nine Ball,3xOi0YhDREKRURFHoNaAOQ,77,89,"['classic oklahoma country', 'modern country pop']",2262988,0.597,0.658,-4.38,0.0,0.38,134.545,not_edm
80,Dave,6Ip8FS7vWT1uKkJSweANQK,Sprinter,2FDTHlrBguDzQkp7PVj16Q,93,81,['uk hip hop'],3729590,0.916,0.583,-8.067,0.0,0.661,141.095,not_edm
81,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,HVN ON EARTH (with Kodak Black),4367dXCt02KMgELPisJ2D4,81,80,"['melodic rap', 'pluggnb', 'rap']",6358944,0.736,0.645,-5.195,0.00086,0.201,132.024,not_edm
82,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,Flooded The Face,4daEMLSZCgZ2Mt7gNm2SRa,82,85,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']",15966883,0.64,0.609,-7.714,2.47e-06,0.393,131.889,not_edm
83,KAROL G,790FomKkXshlbRYZFtlgla,QLONA,5RqSsdzTNPX1uzkmlHCFvK,92,91,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",40230068,0.841,0.738,-7.455,0.0,0.484,169.918,not_edm
84,Feid,2LRoIwlKmHjgvigdNGBHNo,Classy 101,6XSqqQIy7Lm7SnwxS4NrGx,93,90,"['colombian pop', 'pop reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",7622430,0.859,0.658,-4.79,0.0,0.672,100.065,not_edm
85,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,LUNA,3RA55zrRkyPK8Fd86hrMy8,86,93,"['corridos tumbados', 'sad sierreno']",7723690,0.747,0.629,-8.509,0.00409,0.793,127.819,not_edm
86,Charli XCX,25uiPmTg16RbhZWAqwLBy5,Speed Drive (From Barbie The Album),5VxmI3IdgAxWVvUnJoLuY2,87,76,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2991223,0.652,0.879,-6.405,0.0896,0.789,173.925,not_edm
87,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Smaller Acts,67aaFVnfvFWjxVQMd0jDb5,80,89,"['classic oklahoma country', 'modern country pop']",2262988,0.595,0.41,-5.079,4.27e-06,0.141,83.308,not_edm
88,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Holy Roller (feat. Sierra Ferrell),3itgPtXSu4I9mr2QD6yrzP,80,89,"['classic oklahoma country', 'modern country pop']",2262988,0.415,0.404,-9.331,1.95e-05,0.425,81.202,not_edm
89,d4vd,5y8tKLUfMvliMe8IKamR32,Here With Me,5LrN7yUQAzvthd4QujgPFr,89,77,"['bedroom pop', 'bedroom r&b']",1760827,0.571,0.458,-9.283,9.27e-05,0.299,132.025,not_edm
90,Peso Pluma,12GqGscKJx3aE4t07u7eVZ,RUBICON,0xGZjxYqcNQ8WqxyeZ4eSN,87,93,"['corridos tumbados', 'sad sierreno']",7723690,0.758,0.816,-7.284,3.64e-06,0.915,139.959,not_edm
91,Quevedo,52iwsT98xCoGgiGntTiR7K,Columbia,6XbtvPmIpyCbjuT0e8cQtp,95,85,"['rap canario', 'trap latino', 'urbano latino']",2966396,0.668,0.712,-5.927,2.13e-05,0.264,100.02,not_edm
92,Chino Pacas,2rmkQLzj0k4nZdQehOUByO,El Gordo Trae El Mando,3kf0WdFOalKWBkCCLJo4mA,86,77,['corrido'],749084,0.736,0.8,-5.38,0.0,0.961,140.253,not_edm
93,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Ain’t That Some,2YVlDlk2zRceefo6XlC6DX,81,87,['contemporary country'],7260552,0.641,0.803,-5.781,3.86e-06,0.671,121.086,not_edm
94,Cardi B,4kYSro6naA4h99UJvo89HB,Bongos (feat. Megan Thee Stallion),4YQImHflXSiIMXntcwPkx8,83,80,"['pop', 'rap']",22283368,0.726,0.738,-4.788,0.0,0.896,121.953,not_edm
95,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,89,90,"['art pop', 'pop']",28429585,0.49,0.352,-11.577,0.0856,0.166,99.992,not_edm
96,V,3JsHnjpbhX4SnySpvpa9DK,Slow Dancing,5h1BN75CEh8wdSwE1xrbSe,94,84,"['j-division', 'korean ost']",15473152,0.579,0.63,-7.758,0.00462,0.552,155.96,not_edm
97,Lil Durk,3hcs9uc56yIGFCSy9leWe7,All My Life (feat. J. Cole),6HgWWaMu31KdOpEG5l28BG,84,82,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",6263740,0.829,0.436,-8.205,0.0,0.693,143.031,not_edm
98,Calle 24,6dLuQ5qXxIuWc5urxfIiZR,Que Onda,6uIIdjYTxxpWOyWuVXrKQO,91,74,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",484445,0.808,0.944,-4.863,1.11e-06,0.937,124.934,not_edm
99,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,El Dorado,7C1BLYzAvR0KdBpov3GpUZ,79,89,"['classic oklahoma country', 'modern country pop']",2262988,0.351,0.593,-5.549,5.54e-05,0.358,92.263,not_edm
100,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Moonlight,0JmnkIqdlnUzPaf8sqBRs3,85,84,['colombian pop'],5351392,0.642,0.706,-6.872,0.0,0.896,136.851,not_edm
101,Odetari,7ITMCzIU9uII8gwRg8JAhc,GMFU (w/ 6arelyhuman),4D1k6x4MXTaSnljSvAXhaf,86,80,"['sigilkore', 'sped up']",1215176,0.735,0.778,-3.23,0.025,0.278,126.091,not_edm
102,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,"Pain, Sweet, Pain",4KaCwku7yZUrDRcOc9rMmQ,75,89,"['classic oklahoma country', 'modern country pop']",2262988,0.382,0.791,-5.416,0.0,0.315,135.9,not_edm
103,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,Thought You Should Know,3Qu3Zh4WTKhP9GEXo0aDnb,80,87,['contemporary country'],7260552,0.53,0.678,-6.16,6.23e-06,0.508,140.05,not_edm
104,Post Malone,246dkjvS1zLTtiykXe5h60,Chemical,5w40ZYhbBMAlHYNDaVJIUu,88,89,"['dfw rap', 'melodic rap', 'pop', 'rap']",42328624,0.498,0.897,-4.907,0.0,0.373,169.902,not_edm
105,KAROL G,790FomKkXshlbRYZFtlgla,AMARGURA,505v13epFXodT9fVAJ6h8k,89,91,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",40230068,0.92,0.696,-3.356,0.0,0.545,106.966,not_edm
106,Bryan Martin,0ChjBYedhZTQnWZWQYg15U,We Ride,72kGuWpRiuA149Bn5lDkIO,80,68,['modern country pop'],96890,0.62,0.706,-4.176,7.78e-06,0.591,81.989,not_edm
107,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,87,100,['pop'],88128009,0.505,0.532,-3.526,0.0,0.216,81.907,not_edm
108,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,Need A Favor,5twSy6ffBrF03mnNUsUgJZ,80,75,"['country rap', 'nashville hip hop', 'tennessee hip hop']",2596282,0.504,0.771,-4.231,1.89e-05,0.555,157.985,not_edm
109,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Dial Drunk,0caJ2wkqp4UmXBwdR2JvB5,81,82,"['pov: indie', 'singer-songwriter pop']",1313751,0.693,0.595,-7.578,0.0,0.646,112.02,not_edm
110,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,Ella Baila Sola,3qQbCzHBycnDpGskqOWY0E,86,80,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",4776064,0.668,0.758,-5.176,1.89e-05,0.834,147.989,not_edm
111,KAROL G,790FomKkXshlbRYZFtlgla,TQG,0DWdj2oZMBFSzRsi2Cvfzf,90,91,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",40230068,0.72,0.63,-3.547,0.0,0.607,179.974,not_edm
112,HARDY,5QNm7E7RU2m64l6Gliu8Oy,TRUCK BED,103u49mLoJUge83B1CnLxI,79,74,"['contemporary country', 'modern country pop']",500522,0.662,0.77,-4.887,0.0,0.769,132.057,not_edm
113,Bad Bunny,4q3ewBCX7sLwd24euuV69X,UN PREVIEW,63ui2w3QJBp8xx0c1MJB2Z,88,94,"['reggaeton', 'trap latino', 'urbano latino']",74851281,0.786,0.814,-3.318,3.67e-05,0.365,95.084,not_edm
