,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers
587,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,63Vbrr4rLLPEGr5JKuURuU,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
588,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,I Feel It Coming,0YtFLRMc3ZdiAnIYOSNUgo,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
589,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Reminder,6g2sW6zQj9RK9V0gCMqvUF,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
590,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Is There Someone Else?,0Z6MIlJDjWR33HZQyi9EnK,4,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
591,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,63t9P3jgV6YZeXgKJVL6Pr,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
592,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,I Feel It Coming,0yHgWrJAWTz0LDMVJSxxly,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
593,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,68vxy7hG5VM0LLcfEviG81,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
594,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"Earned It (Fifty Shades Of Grey) - From ""Fifty Shades Of Grey"" Soundtrack",5VwPQ67RnKd7PRPpzqq1sq,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
595,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,I Feel It Coming,6PK36ASItqsUKzLbRqmyPp,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
596,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,7sjGdPUjTHQ7hHEBjLoRNC,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
597,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Call Out My Name,00ZvUqyarh9Kb32dsF6tJg,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
598,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Reminder,4R4ytjX1VbW8ewn03PruwL,2,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
599,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,1S5Jx1fiigVJY0OSAt5qGc,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
600,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Die For You,7CnkF0nZ7IHGzFUGTY8L9z,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
601,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Earned It (Fifty Shades Of Grey),1Syo2PLDVsq4cOZPDM9ewD,1,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
602,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Can't Feel My Face,5hYvgg2VChQErci875xVU3,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
